181230	219	11/9/2023 15:40
312820	208	22/9/2023 15:54
186080	208	22/9/2023 15:54
129510	205	25/9/2023 12:32
321390	205	25/9/2023 12:32
187870	205	25/9/2023 12:32
201540	203	27/9/2023 14:02
65120	203	27/9/2023 14:02
314150	201	29/9/2023 11:51
326300	195	5/10/2023 9:54
190960	188	12/10/2023 12:50
189370	188	12/10/2023 12:50
318000	172	28/10/2023 8:43
82200	172	28/10/2023 8:43
188170	172	28/10/2023 8:43
66700	172	28/10/2023 8:43
89150	160	9/11/2023 16:46
76800	160	9/11/2023 16:46
336740	160	9/11/2023 16:46
87780	153	16/11/2023 16:03
105490	153	16/11/2023 16:03
126910	153	16/11/2023 16:03
205900	153	16/11/2023 16:03
316050	153	16/11/2023 16:03
1101850	153	16/11/2023 16:03
209230	153	16/11/2023 16:03
336810	153	16/11/2023 16:03
335650	153	16/11/2023 16:03
132220	153	16/11/2023 16:03
229090	153	16/11/2023 16:03
186480	153	16/11/2023 16:03
553680	153	16/11/2023 16:03
198370	153	16/11/2023 16:03
336260	146	23/11/2023 14:50
129020	146	23/11/2023 14:50
206870	146	23/11/2023 14:51
185090	146	23/11/2023 14:51
105500	146	23/11/2023 14:51
189910	139	30/11/2023 16:44
329180	139	30/11/2023 16:44
183310	139	30/11/2023 16:44
405170	139	30/11/2023 16:44
189160	139	30/11/2023 16:44
198850	131	8/12/2023 17:22
16341360	90	18/1/2024 18:10
89390	83	25/1/2024 13:06
334990	83	25/1/2024 13:06
133940	83	25/1/2024 13:06
75790	83	25/1/2024 13:06
317100	83	25/1/2024 13:06
131760	83	25/1/2024 13:06
320500	83	25/1/2024 13:06
202380	83	25/1/2024 13:06
336110	83	25/1/2024 13:06
129840	83	25/1/2024 13:06
66970	76	1/2/2024 13:29
1101180	76	1/2/2024 13:29
127930	76	1/2/2024 13:29
195220	76	1/2/2024 13:29
93520	76	1/2/2024 13:29
183580	76	1/2/2024 13:29
333990	72	5/2/2024 13:29
193870	72	5/2/2024 13:29
229710	69	8/2/2024 18:51
230280	69	8/2/2024 18:51
70230	58	19/2/2024 10:57
330930	58	19/2/2024 10:57
75680	58	19/2/2024 10:57
322430	58	19/2/2024 15:16
225410	58	19/2/2024 15:16
229690	58	19/2/2024 15:16
127710	48	29/2/2024 16:00
188800	48	29/2/2024 16:00
185430	48	29/2/2024 16:00
410270	48	29/2/2024 16:00
481730	48	29/2/2024 16:00
19955400	48	29/2/2024 16:00
198140	34	14/3/2024 13:23
133960	34	14/3/2024 13:23
98420	34	14/3/2024 13:23
200940	34	14/3/2024 13:23
197500	34	14/3/2024 13:23
72540	34	14/3/2024 13:23
332680	34	14/3/2024 13:23
84670	34	14/3/2024 13:23
325200	23	25/3/2024 16:06
215230	23	25/3/2024 16:06
197630	23	25/3/2024 16:06
182500	22	26/3/2024 17:38
72320	22	26/3/2024 17:38
70540	20	28/3/2024 13:04
11360	20	28/3/2024 13:04
307540	20	28/3/2024 13:04
189660	20	28/3/2024 13:04
407380	20	28/3/2024 13:04
134290	20	28/3/2024 13:04
330560	20	28/3/2024 13:04
334240	20	28/3/2024 13:04
184730	20	28/3/2024 13:04
317820	20	28/3/2024 13:04
413320	20	28/3/2024 13:04
195110	20	28/3/2024 13:04
324140	13	4/4/2024 16:39
409490	13	4/4/2024 16:39
407440	13	4/4/2024 16:39
66660	13	4/4/2024 16:39
176370	13	4/4/2024 16:39
78890	13	4/4/2024 16:39
72000	13	4/4/2024 16:39
815380	13	4/4/2024 16:39
132320	13	4/4/2024 16:39
195050	13	4/4/2024 16:39
537750	13	4/4/2024 16:39
80610	13	4/4/2024 16:39
199330	13	4/4/2024 16:39
187370	9	8/4/2024 15:55
210990	9	8/4/2024 15:55
129970	9	8/4/2024 15:55
198440	9	8/4/2024 15:55
327810	9	8/4/2024 15:55
134880	6	11/4/2024 12:49
88040	6	11/4/2024 12:49
318620	6	11/4/2024 12:49
206150	6	11/4/2024 12:49
312340	1	16/4/2024 16:58
230220	1	16/4/2024 16:58
432750	1.204,00	30/12/2020 13:41
15363890	1.203,00	31/12/2020 12:33
640	1.175,00	28/1/2021 11:20
28937300	1.174,00	29/1/2021 14:52
13647700	1.174,00	29/1/2021 14:52
13297180	1.161,00	11/2/2021 13:51
450480	1.135,00	9/3/2021 15:53
14998100	1.020,00	2/7/2021 12:17
